"Rank","Title","Description","Runtime","Genre","Metascore"
1,"Отряд самоубийц","
A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.","123 min","
Action, Adventure, Fantasy            ","
40        
        Metascore
            "
2,"Не дыши","
Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","88 min","
Crime, Horror, Thriller            ","
71        
        Metascore
            "
3,"Великолепная семерка","
Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.","132 min","
Action, Adventure, Western            ","
54        
        Metascore
            "
4,"Дэдпул","
A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","108 min","
Action, Adventure, Comedy            ","
65        
        Metascore
            "
5,"Расплата","
As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.","128 min","
Action, Crime, Drama            ","
51        
        Metascore
            "
6,"Зверопой","
In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","108 min","
Animation, Comedy, Family            ","
59        
        Metascore
            "
7,"Прибытие","
A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.","116 min","
Drama, Sci-Fi            ","
81        
        Metascore
            "
8,"Моана","
In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","107 min","
Animation, Adventure, Comedy            ","
81        
        Metascore
            "
9,"Стартрек: Бесконечность","
The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.","122 min","
Action, Adventure, Sci-Fi            ","
68        
        Metascore
            "
10,"Под покровом ночи","
A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.","116 min","
Drama, Thriller            ","
67        
        Metascore
            "
11,"Капитан Фантастик","
In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.","118 min","
Comedy, Drama            ","
72        
        Metascore
            "
12,"Бэтмен против Супермена: На заре справедливости","
Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","152 min","
Action, Adventure, Sci-Fi            ","
44        
        Metascore
            "
13,"До встречи с тобой","
A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.","106 min","
Drama, Romance            ","
51        
        Metascore
            "
14,"Сплит","
Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.","117 min","
Horror, Thriller            ","
62        
        Metascore
            "
15,"Пассажиры","
A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.","116 min","
Drama, Romance, Sci-Fi            ","
41        
        Metascore
            "
16,"Почти семнадцать","
High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.","104 min","
Comedy, Drama            ","
77        
        Metascore
            "
17,"Доктор Стрэндж","
While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.","115 min","
Action, Adventure, Fantasy            ","
72        
        Metascore
            "
18,"По соображениям совести","
World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","139 min","
Biography, Drama, History            ","
71        
        Metascore
            "
19,"Первый мститель: Противостояние","
Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.","147 min","
Action, Adventure, Sci-Fi            ","
75        
        Metascore
            "
20,"Ла-Ла Ленд","
While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","128 min","
Comedy, Drama, Music            ","
94        
        Metascore
            "
21,"Тарзан. Легенда","
Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","110 min","
Action, Adventure, Drama            ","
44        
        Metascore
            "
22,"13 часов: Тайные солдаты Бенгази","
During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.","144 min","
Action, Drama, Thriller            ","
48        
        Metascore
            "
23,"Служанка","
A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","145 min","
Drama, Romance, Thriller            ","
84        
        Metascore
            "
24,"Изгой-один. Звёздные войны: Истории","
In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.","133 min","
Action, Adventure, Sci-Fi            ","
65        
        Metascore
            "
25,"Зверополис","
In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","108 min","
Animation, Adventure, Comedy            ","
78        
        Metascore
            "
26,"Твоё имя","
Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","106 min","
Animation, Drama, Fantasy            ","
79        
        Metascore
            "
27,"Девушка в поезде","
A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.","112 min","
Crime, Drama, Mystery            ","
48        
        Metascore
            "
28,"Люди Икс: Апокалипсис","
In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.","144 min","
Action, Adventure, Sci-Fi            ","
52        
        Metascore
            "
29,"Боги Египта","
Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.","127 min","
Action, Adventure, Fantasy            ","
25        
        Metascore
            "
30,"Охотники за привидениями","
Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.","117 min","
Action, Comedy, Fantasy            ","
60        
        Metascore
            "
31,"Славные парни","
In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","116 min","
Action, Comedy, Crime            ","
70        
        Metascore
            "
32,"Кредо убийцы","
Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.","115 min","
Action, Adventure, Sci-Fi            ","
36        
        Metascore
            "
33,"Парни со стволами","
Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.","114 min","
Biography, Comedy, Crime            ","
57        
        Metascore
            "
34,"Поезд в Пусан","
While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.","118 min","
Action, Horror, Thriller            ","
72        
        Metascore
            "
35,"Охота на дикарей","
A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.","101 min","
Adventure, Comedy, Drama            ","
81        
        Metascore
            "
36,"Фантастические твари и где они обитают","
The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.","132 min","
Adventure, Family, Fantasy            ","
66        
        Metascore
            "
37,"Невидимый гость","
A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.","106 min","
Crime, Drama, Mystery            ",NA
38,"Скрытые фигуры","
The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.","127 min","
Biography, Drama, History            ","
74        
        Metascore
            "
39,"Глубоководный горизонт","
A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.","107 min","
Action, Drama, History            ","
68        
        Metascore
            "
40,"Специальный полуночный выпуск","
A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.","112 min","
Drama, Mystery, Sci-Fi            ","
76        
        Metascore
            "
41,"Любой ценой","
A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.","102 min","
Action, Crime, Drama            ","
88        
        Metascore
            "
42,"Основатель","
The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.","115 min","
Biography, Drama            ","
66        
        Metascore
            "
43,"Манчестер у моря","
A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.","137 min","
Drama            ","
96        
        Metascore
            "
44,"Заклятие 2","
Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.","134 min","
Horror, Mystery, Thriller            ","
65        
        Metascore
            "
45,"Лев","
A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.","118 min","
Biography, Drama            ","
69        
        Metascore
            "
46,"Джейсон Борн","
The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.","123 min","
Action, Thriller            ","
58        
        Metascore
            "
47,"Лунный свет","
A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.","111 min","
Drama            ","
99        
        Metascore
            "
48,"Союзники","
In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.","124 min","
Action, Drama, Romance            ","
60        
        Metascore
            "
49,"Варкрафт","
As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.","123 min","
Action, Adventure, Fantasy            ","
32        
        Metascore
            "
50,"Несносные леди","
Three generations come together in the week leading up to Mother's Day.","118 min","
Comedy, Drama, Romance            ","
18        
        Metascore
            "
51,"Дом странных детей Мисс Перегрин","
When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.","127 min","
Adventure, Drama, Family            ","
57        
        Metascore
            "
52,"Сальный душитель","
Ronnie runs a Disco walking tour with his son, Brayden. When a sexy woman takes the tour, it begins a competition between father and son for her love. It also signals the arrival of an oily strangler who stalks the streets at night.","93 min","
Comedy, Horror            ","
58        
        Metascore
            "
53,"Молчание","
In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.","161 min","
Drama, History            ","
79        
        Metascore
            "
54,"Тишина","
A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.","82 min","
Horror, Thriller            ","
67        
        Metascore
            "
55,"Неоновый демон","
An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.","117 min","
Horror, Thriller            ","
51        
        Metascore
            "
56,"Кловерфилд, 10","
A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.","103 min","
Action, Drama, Horror            ","
76        
        Metascore
            "
57,"Преступник","
In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.","113 min","
Action, Sci-Fi, Thriller            ","
36        
        Metascore
            "
58,"Иллюзия обмана 2","
The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.","129 min","
Action, Adventure, Comedy            ","
46        
        Metascore
            "
59,"Сырое","
A young woman, studying to be a vet, develops a craving for human flesh.","99 min","
Drama, Horror            ","
81        
        Metascore
            "
60,"Книга джунглей","
After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.","106 min","
Adventure, Drama, Family            ","
77        
        Metascore
            "
61,"Опасная игра Слоун","
In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.","132 min","
Drama            ","
64        
        Metascore
            "
62,"Отмель","
A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.","86 min","
Action, Drama, Horror            ","
59        
        Metascore
            "
63,"Белоснежка и охотник 2","
Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.","114 min","
Action, Adventure, Drama            ","
35        
        Metascore
            "
64,"Вопль","
Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter.","156 min","
Horror, Mystery, Thriller            ","
81        
        Metascore
            "
65,"Форма голоса","
A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.","130 min","
Animation, Drama            ","
78        
        Metascore
            "
66,"Полный расколбас","
A sausage strives to discover the truth about his existence.","89 min","
Animation, Adventure, Comedy            ","
66        
        Metascore
            "
67,"Затерянный город Z","
A true-life drama, centering on British explorer Major Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.","141 min","
Biography, Drama            ","
78        
        Metascore
            "
68,"Ужасающий","
On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown.","82 min","
Horror, Thriller            ",NA
69,"День независимости: Возрождение","
Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?","120 min","
Action, Adventure, Sci-Fi            ","
32        
        Metascore
            "
70,"Тайная жизнь домашних животных","
The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.","87 min","
Animation, Adventure, Comedy            ","
61        
        Metascore
            "
71,"Чудо на Гудзоне","
The story of Chesley ""Sully"" Sullenberger (Tom Hanks), an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.","96 min","
Biography, Drama            ","
74        
        Metascore
            "
72,"Очень плохие мамочки","
When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.","100 min","
Comedy            ","
60        
        Metascore
            "
73,"Плохая партия","
In a desert dystopia, a young woman is kidnapped by cannibals.","118 min","
Action, Horror, Mystery            ","
62        
        Metascore
            "
74,"Другой мир: Войны крови","
Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.","91 min","
Action, Adventure, Fantasy            ","
23        
        Metascore
            "
75,"Сноуден","
The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.","134 min","
Biography, Crime, Drama            ","
58        
        Metascore
            "
76,"Дангал","
Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.","161 min","
Action, Biography, Drama            ",NA
77,"Инферно","
When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.","121 min","
Action, Adventure, Crime            ","
42        
        Metascore
            "
78,"Ниже её губ","
An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.","94 min","
Drama, Romance            ","
42        
        Metascore
            "
79,"Великая стена","
In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.","103 min","
Action, Adventure, Fantasy            ","
42        
        Metascore
            "
80,"Преисподняя","
From the moment the new reverend climbs the pulpit, Liz knows she and her family are in great danger.","148 min","
Drama, Mystery, Thriller            ","
45        
        Metascore
            "
81,"Человек - швейцарский нож","
A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home.","97 min","
Comedy, Drama, Fantasy            ","
64        
        Metascore
            "
82,"Рок-н-рольщики","
A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.","106 min","
Comedy, Drama, Music            ","
79        
        Metascore
            "
83,"Ведьма любви","
A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.","120 min","
Comedy, Horror, Romance            ","
82        
        Metascore
            "
84,"Ограды","
A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.","139 min","
Drama            ","
79        
        Metascore
            "
85,"И гаснет свет...","
Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.","81 min","
Drama, Horror, Mystery            ","
58        
        Metascore
            "
86,"5-я волна","
Four waves of increasingly deadly alien attacks have left most of Earth in ruin. Cassie is on the run, desperately trying to save her younger brother.","112 min","
Action, Adventure, Sci-Fi            ","
33        
        Metascore
            "
87,"Патерсон","
A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details.","118 min","
Comedy, Drama, Romance            ","
90        
        Metascore
            "
88,"Каждому свое","
In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.","117 min","
Comedy            ","
83        
        Metascore
            "
89,"Золото","
Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.","120 min","
Crime, Drama            ","
49        
        Metascore
            "
90,"Демон внутри","
A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.","86 min","
Horror, Mystery, Thriller            ","
65        
        Metascore
            "
91,"В активном поиске","
A group of young adults navigate love and relationships in New York City.","110 min","
Comedy, Drama, Romance            ","
51        
        Metascore
            "
92,"В поисках Дори","
Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.","97 min","
Animation, Adventure, Comedy            ","
77        
        Metascore
            "
93,"Гордость и предубеждение и зомби","
Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.","108 min","
Action, Comedy, Fantasy            ","
45        
        Metascore
            "
94,"Кунг-фу Панда 3","
Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.","95 min","
Animation, Action, Adventure            ","
66        
        Metascore
            "
95,"Да здравствует Цезарь!","
A Hollywood fixer in the 1950s works to keep the studio's stars in line.","106 min","
Comedy, Drama, Music            ","
72        
        Metascore
            "
96,"Эксперимент 'Офис'","
In a twisted social experiment, eighty Americans are locked in their high-rise corporate office in Bogota, Colombia, and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.","89 min","
Horror, Thriller            ","
44        
        Metascore
            "
97,"Три девятки","
A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.","115 min","
Action, Crime, Thriller            ","
52        
        Metascore
            "
98,"Кукла","
An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.","97 min","
Horror, Mystery, Thriller            ","
42        
        Metascore
            "
99,"Полтора шпиона","
After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.","107 min","
Action, Comedy, Crime            ","
52        
        Metascore
            "
100,"Падение Лондона","
In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.","99 min","
Action, Thriller            ","
28        
        Metascore
            "
